Error en la consulta del 2013.
[INFO] Connect to Database established 26/03/2020 06:18:44pm
[INFO] Connect to Database established 26/03/2020 06:19:11pm
[INFO] Connect to Database established 26/03/2020 06:19:11pm
[INFO] Connect to Database established 26/03/2020 06:19:23pm
[INFO] Connect to Database established 26/03/2020 06:19:23pm
[INFO] Connect to Database established 26/03/2020 06:19:45pm
[INFO] Connect to Database established 26/03/2020 06:19:45pm
[INFO] Connect to Database established 26/03/2020 06:20:13pm
[INFO] Connect to Database established 26/03/2020 06:20:13pm
[INFO] Connect to Database established 26/03/2020 06:21:13pm
[INFO] Connect to Database established 26/03/2020 06:21:13pm
[INFO] Connect to Database established 26/03/2020 06:21:16pm
[INFO] Connect to Database established 26/03/2020 06:21:16pm
